SCHID,LEAID,SCH_NAME,LEA_STATE_NAME_x,LEA_ZIP,white_student_suspension_total,black_student_suspension_total,black_student_pop,white_student_pop,susp_black_white_ratio,gini_inequality,med_hh_inc,white_prop,bach_plus_prop,SCH_GRADE_PS,SCH_GRADE_KG,SCH_GRADE_G06,SCH_GRADE_G07,SCH_GRADE_G08,SCH_GRADE_G09,SCH_GRADE_G10,SCH_GRADE_G11,SCH_GRADE_G12,SCH_SSCLASSES_IND,SCH_GT_IND,SCH_IBENR_IND,SCH_APSEL,teacher_prop,security_pop_bool,security_pop,law_prop,counc_prop,cert_teacher_prop,total_susp_per_pop,school_pop,reduced_free_lunch_prop,male_prop,black_white_pop_ratio
1821,3620580,NEWCOMERS HIGH SCHOOL,NEW YORK,NA,0,0,17,38,NA,NA,NA,NA,NA,,,,,,,,,,,,,Yes,NA,NA,NA,NA,NA,NA,0,809,NA,0.580964153275649,0.3090909090909091
1827,3620580,MICHAEL J PETRIDES SCHOOL (THE),NEW YORK,NA,0,0,289,454,NA,NA,NA,NA,NA,,,,,,,,,,,,,Yes,NA,NA,NA,NA,NA,NA,0,1366,NA,0.5212298682284041,0.38896366083445494
1906,3620580,ABRAHAM LINCOLN HIGH SCHOOL,NEW YORK,NA,2,2,785,259,0.32993630573248406,NA,NA,NA,NA,,,,,,,,,,,,,Yes,NA,NA,NA,NA,NA,NA,0.0038314176245210726,1958,NA,0.5612870275791624,0.7519157088122606
1909,3620580,ALFRED E SMITH CAREER AND TECHNICAL EDUCATION HIGH SCHOOL,NEW YORK,NA,0,2,117,4,Inf,NA,NA,NA,NA,,,,,,,,,,,,,Yes,NA,NA,NA,NA,NA,NA,0.01652892561983471,436,NA,0.841743119266055,0.9669421487603306
1911,3620580,ART AND DESIGN HIGH SCHOOL,NEW YORK,NA,1,3,202,364,5.405940594059405,NA,NA,NA,NA,,,,,,,,,,,,,Yes,NA,NA,NA,NA,NA,NA,0.007067137809187279,1505,NA,0.3308970099667774,0.3568904593639576
1912,3620580,AUGUST MARTIN HIGH SCHOOL,NEW YORK,NA,0,5,280,7,Inf,NA,NA,NA,NA,,,,,,,,,,,,,Yes,NA,NA,NA,NA,NA,NA,0.017421602787456445,476,NA,0.6029411764705882,0.975609756097561
1913,3620580,A-TECH HIGH SCHOOL,NEW YORK,NA,0,8,128,4,Inf,NA,NA,NA,NA,,,,,,,,,,,,,Yes,NA,NA,NA,NA,NA,NA,0.06060606060606061,351,NA,0.9088319088319088,0.9696969696969697
1915,3620580,AVIATION CAREER AND TECHNICAL EDUCATION HIGH SCHOOL,NEW YORK,NA,0,0,67,221,NA,NA,NA,NA,NA,,,,,,,,,,,,,No,NA,NA,NA,NA,NA,NA,0,1918,NA,0.7924921793534933,0.2326388888888889
1916,3620580,HIGH SCHOOL OF TELECOMMUNICATION ARTS AND TECHNOLOGY,NEW YORK,NA,0,0,49,235,NA,NA,NA,NA,NA,,,,,,,,,,,,,Yes,NA,NA,NA,NA,NA,NA,0,1273,NA,0.6001571091908877,0.17253521126760563
1917,3620580,BAYSIDE HIGH SCHOOL,NEW YORK,NA,2,5,353,407,2.8824362606232294,NA,NA,NA,NA,,,,,,,,,,,,,No,NA,NA,NA,NA,NA,NA,0.009210526315789473,3008,NA,0.5272606382978723,0.4644736842105263
